,product,review_rating,review_text,word_count,Text,neg,neu,pos,compound,Sentiment
0,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,yeapreordered 28 july got 4 august package nice without damage so first impression,23,yeapreordered 28 july got 4 august package nice without damage so first impression,0.0,0.568,0.432,0.7654,Positive
1,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,got delivered yesterday used 56 hours tell first mid ranger previously i using s9 plus s7 edge iphones stone age,39,got delivered yesterday used 56 hour tell first mid ranger previously using s9 plus s7 edge iphones stone age,0.0,1.0,0.0,0.0,Positive
2,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,an amazing phone,5,an amazing,0.0,0.208,0.792,0.5859,Positive
3,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,brilliant,3,brilliant,0.0,0.0,1.0,0.5859,Positive
4,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,i skeptical changing one plus 6t nord 845 still processing power 765 5g wont available india next 2 years nord gorilla glass 5 whereas op6t gorilla glass 6,44,skeptical changing plus 6t nord 845 still processing power 765 5g wont available india next 2 year nord gorilla glass 5 whereas op6t gorilla glass 6,0.084,0.916,0.0,-0.3182,Negative
5,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,where call recording option,7,where call recording option,0.0,1.0,0.0,0.0,Positive
6,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,so i pre ordered phone 28th july i got 3rd august thank amazon faster delivery,26,so pre ordered 28th july got 3rd august thank amazon faster delivery,0.0,0.704,0.296,0.4939,Positive
7,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,hey guys wont go specs details reading read specs i got 2nd august 24 hours use say decision wait worth,45,hey guy wont go spec detail reading read spec got 2nd august 24 hour use say decision wait worth,0.0,0.905,0.095,0.2263,Positive
8,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,in love camera quality color phone works smoothly impressed,17,in love color work smoothly impressed,0.0,0.354,0.646,0.8074,Positive
9,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",5,i always want oneplus mobile i one good mobile,16,always want mobile mobile,0.0,0.698,0.302,0.0772,Positive
